,Duration,IDWorker1,IDWorker2
0,28820,492,938
1,28860,267,272
2,29300,181,826
3,29780,79,181
4,30000,150,196
5,30020,21,150
6,30060,21,205
7,30060,21,150
8,30060,448,826
9,30060,765,826
10,30280,39,253
11,30280,80,253
12,30360,123,845
13,30380,118,311
14,30380,95,118
15,30380,80,95
16,30380,123,845
17,30380,95,311
18,30400,118,311
19,30400,80,118
20,30400,95,118
21,30400,123,845
22,30400,95,311
23,30420,118,311
24,30420,95,118
25,30420,95,311
26,30420,123,845
27,30440,118,311
28,30440,118,771
29,30440,95,771
30,30440,311,771
31,30440,95,118
32,30440,123,845
33,30440,95,311
34,30460,118,311
35,30460,21,205
36,30460,95,771
37,30460,95,118
38,30460,123,845
39,30460,95,311
40,30460,118,771
41,30480,118,311
42,30480,95,771
43,30480,95,118
44,30480,123,845
45,30480,95,311
46,30500,123,845
47,30520,123,845
48,30520,153,205
49,30540,123,845
50,30560,123,845
51,30560,164,311
52,30580,123,845
53,30640,21,179
54,30640,123,845
55,30720,311,481
56,31220,79,122
57,31560,39,120
58,31580,39,120
59,31620,39,120
60,31640,39,120
61,31680,39,120
62,31700,39,120
63,31840,122,448
64,31860,122,448
65,31880,122,448
66,31900,122,448
67,31900,21,150
68,32020,39,120
69,32040,39,120
70,32060,39,120
71,32080,39,120
72,32100,39,120
73,32200,39,120
74,32260,39,120
75,32280,39,120
76,32300,39,120
77,32300,21,150
78,32320,39,120
79,32340,39,120
80,32360,120,819
81,33300,431,778
82,33340,271,601
83,33400,431,778
84,33480,431,778
85,33560,431,778
86,33560,15,95
87,33660,56,194
88,33680,56,194
89,33720,194,786
90,33720,194,311
91,33740,311,786
92,33760,311,786
93,33780,194,786
94,33800,194,786
95,33800,194,311
96,33820,311,786
97,33820,194,786
98,33840,311,786
99,33860,311,786
100,33860,194,786
101,33880,194,786
102,33960,194,786
103,33960,311,786
104,33980,194,786
105,34020,95,311
106,34020,95,205
107,34040,271,601
108,34040,21,603
109,34040,205,311
110,34060,95,311
111,34080,95,311
112,34180,95,123
113,34260,205,311
114,34320,150,271
115,34340,150,271
116,34420,311,496
117,34500,21,431
118,34580,79,275
119,34580,271,601
120,34580,222,267
121,34580,50,179
122,34600,222,267
123,34620,222,267
124,34640,271,601
125,34640,222,267
126,34660,222,267
127,34680,150,601
128,34740,120,172
129,34740,271,448
130,34760,271,601
131,34780,29,271
132,34800,120,223
133,34820,271,601
134,34840,271,601
135,34860,271,601
136,34880,271,601
137,34900,271,601
138,34920,120,172
139,34920,271,601
140,34940,271,601
141,34960,271,601
142,34980,271,601
143,35000,271,601
144,35020,271,601
145,35040,271,601
146,35060,271,601
147,35140,271,601
148,35160,271,601
149,35180,271,601
150,35300,271,601
151,35560,271,601
152,35580,271,601
153,35620,116,123
154,35620,271,601
155,35640,271,601
156,35780,29,95
157,35800,123,253
158,35880,123,253
159,35980,123,253
160,36260,120,172
161,36280,120,172
162,36320,79,253
163,36500,311,496
164,36520,311,496
165,36600,285,762
166,36620,285,762
167,36720,285,762
168,36740,285,762
169,36760,285,762
170,36820,123,253
171,36860,285,762
172,36940,150,601
173,37300,285,762
174,37420,150,762
175,37440,29,79
176,37440,150,762
177,37460,150,762
178,37480,150,762
179,37500,150,762
180,37840,116,826
181,38300,63,481
182,38340,120,172
183,38360,120,172
184,38480,63,481
185,38500,762,771
186,38500,63,481
187,38520,63,481
188,38540,63,481
189,38560,63,481
190,38600,63,481
191,38620,63,481
192,38680,63,481
193,38700,63,481
194,38720,63,481
195,38780,63,481
196,38800,63,481
197,38860,63,481
198,39660,56,939
199,39660,50,335
200,39760,123,253
201,39940,778,826
202,39960,778,826
203,40320,223,496
