,IDWorker,Department
0,20,DCAR
1,89,DCAR
2,97,DCAR
3,118,DCAR
4,132,DCAR
5,220,DCAR
6,378,DCAR
7,656,DCAR
8,720,DCAR
9,741,DCAR
10,886,DCAR
11,1204,DCAR
12,1209,DCAR
13,1374,DCAR
14,1492,DCAR
15,290,DG
16,502,DG
17,47,DISQ
18,119,DISQ
19,198,DISQ
20,213,DISQ
21,253,DISQ
22,267,DISQ
23,270,DISQ
24,343,DISQ
25,366,DISQ
26,420,DISQ
27,428,DISQ
28,445,DISQ
29,478,DISQ
30,520,DISQ
31,525,DISQ
32,660,DISQ
33,691,DISQ
34,836,DISQ
35,39,DMCT
36,43,DMCT
37,59,DMCT
38,63,DMCT
39,72,DMCT
40,80,DMCT
41,122,DMCT
42,211,DMCT
43,219,DMCT
44,246,DMCT
45,257,DMCT
46,285,DMCT
47,339,DMCT
48,407,DMCT
49,466,DMCT
50,468,DMCT
51,533,DMCT
52,637,DMCT
53,702,DMCT
54,706,DMCT
55,753,DMCT
56,784,DMCT
57,790,DMCT
58,793,DMCT
59,809,DMCT
60,866,DMCT
61,871,DMCT
62,889,DMCT
63,894,DMCT
64,923,DMCT
65,924,DMCT
66,939,DMCT
67,999,DMCT
68,3,DMI
69,15,DMI
70,34,DMI
71,54,DMI
72,62,DMI
73,74,DMI
74,79,DMI
75,99,DMI
76,120,DMI
77,131,DMI
78,134,DMI
79,141,DMI
80,156,DMI
81,158,DMI
82,159,DMI
83,160,DMI
84,162,DMI
85,165,DMI
86,178,DMI
87,183,DMI
88,193,DMI
89,205,DMI
90,226,DMI
91,236,DMI
92,242,DMI
93,250,DMI
94,259,DMI
95,261,DMI
96,295,DMI
97,333,DMI
98,353,DMI
99,372,DMI
100,425,DMI
101,434,DMI
102,447,DMI
103,453,DMI
104,460,DMI
105,464,DMI
106,489,DMI
107,491,DMI
108,498,DMI
109,574,DMI
110,615,DMI
111,642,DMI
112,677,DMI
113,694,DMI
114,698,DMI
115,751,DMI
116,763,DMI
117,841,DMI
118,859,DMI
119,880,DMI
120,884,DMI
121,909,DMI
122,959,DMI
123,1067,DMI
124,1090,DMI
125,1164,DMI
126,1238,DMI
127,1342,DMI
128,38,DSE
129,172,DSE
130,184,DSE
131,210,DSE
132,222,DSE
133,248,DSE
134,252,DSE
135,269,DSE
136,275,DSE
137,322,DSE
138,374,DSE
139,424,DSE
140,465,DSE
141,477,DSE
142,486,DSE
143,504,DSE
144,510,DSE
145,513,DSE
146,527,DSE
147,577,DSE
148,634,DSE
149,638,DSE
150,674,DSE
151,743,DSE
152,771,DSE
153,854,DSE
154,867,DSE
155,882,DSE
156,893,DSE
157,908,DSE
158,921,DSE
159,943,DSE
160,1460,DSE
161,1485,DSE
162,27,DST
163,45,DST
164,71,DST
165,77,DST
166,147,DST
167,215,DST
168,346,DST
169,387,DST
170,401,DST
171,426,DST
172,429,DST
173,487,DST
174,488,DST
175,580,DST
176,582,DST
177,603,DST
178,649,DST
179,725,DST
180,779,DST
181,954,DST
182,1245,DST
183,1323,DST
184,1362,DST
185,1392,DST
186,14,SCOM
187,181,SCOM
188,441,SCOM
189,544,SCOM
190,778,SCOM
191,998,SCOM
192,1260,SCOM
193,106,SDOC
194,245,SDOC
195,435,SDOC
196,440,SDOC
197,1,SFLE
198,117,SFLE
199,197,SFLE
200,200,SFLE
201,251,SFLE
202,255,SFLE
203,413,SFLE
204,432,SFLE
205,461,SFLE
206,475,SFLE
207,496,SFLE
208,626,SFLE
209,653,SFLE
210,874,SFLE
211,977,SFLE
212,1414,SFLE
213,1870,SFLE
214,18,SRH
215,232,SRH
216,272,SRH
217,531,SRH
218,621,SRH
219,650,SRH
220,744,SRH
221,797,SRH
222,845,SRH
223,55,SSI
224,110,SSI
225,164,SSI
226,173,SSI
227,628,SSI
228,847,SSI
229,970,SSI
230,985,SSI
231,1216,SSI
